PIW,CPR,LTV,DTI,FICO,Refi,SATO,SMM,AOL
1,25.36,70.97,37.46,686,0.88,1.32,2.41,250501.85
1,14.729,88.06,37.42,757,0.46,-0.31,1.32,331502.45
0,55.062,70,35.48,766,0.9,-0.06,6.45,334502.06
1,8.576,69.63,36.14,721,0.39,0.85,0.74,297253
0,56.602,71.62,35.98,763,0.68,-0.09,6.72,356908.24
0,31.555,67.68,36.86,729,0.58,0.41,3.11,334861.43
1,19.511,71.08,37.71,681,0.89,1.39,1.79,255020.8
1,10.837,83.36,38.07,711,0.36,0.83,0.95,249109.06
0,46.603,71.02,37.69,717,1.16,0.57,5.09,333924.07
0,29.015,68.07,36.2,747,0.61,0.18,2.82,336607.31
0,45.507,69.63,37.55,737,0.88,0.37,4.93,339999.71
0,16.287,69.59,34.39,741,0.35,0.21,1.47,324764.63
1,25.493,82.43,37.37,723,1.16,0.63,2.42,258940.85
1,15.034,70.93,37.57,684,0.86,1.35,1.35,251518.59
1,34.519,88.19,37.01,756,0.6,-0.39,3.47,331961.21
1,14.789,89.05,38.13,705,1.09,0.96,1.32,253259.4
1,20.813,70.6,38.01,685,1.08,1.39,1.93,247269.29
0,28.159,85.24,34.38,761,0.36,0.03,2.72,382525.85
1,11.896,68.46,36.49,703,0.61,1.05,1.05,249705.48
0,56.442,67.61,36.86,737,0.86,0.33,6.69,328698.47
1,35.767,70.3,35.63,767,0.6,-0.34,3.62,340468.2
0,36.65,68.93,35.89,757,0.91,0.12,3.73,325263.63
0,67.299,71.24,36.57,750,1.07,0.03,8.89,344850.18
0,39.624,66.52,34.08,766,0.36,-0.05,4.12,354415.81
1,16.087,69.01,36.81,706,0.33,1.12,1.45,263225.89
1,11.412,82.05,35.4,755,0.44,-0.04,1,267818.9
0,27.873,68.8,36.06,753,0.39,0.11,2.69,343446.75
1,21.784,88.18,38.78,702,1.08,1.38,2.03,226385.39
1,8.164,88.74,37.74,714,0.64,0.86,0.71,263489.38
1,23.553,82.94,37.92,710,1.12,0.92,2.21,253238.4
0,23.392,67.73,35.36,756,0.41,0.12,2.2,342965.53
1,15.638,73.34,34.92,768,0.41,-0.4,1.41,366898.37
0,46.215,67.67,37,732,0.82,0.38,5.04,331307.76
1,18.66,82.48,37.35,721,1.11,0.66,1.71,245009.06
0,45.497,70.12,35.51,764,0.88,0.01,4.93,327697.55
1,13.507,87.99,40.08,701,0.81,1.51,1.2,228791.12
1,11.217,87.75,39.77,701,0.84,1.5,0.99,226669.77
1,24.117,72.53,35.33,768,0.45,-0.33,2.27,355894.59
0,61.972,69.32,35.6,762,1.13,0.04,7.74,318408.2
0,39.04,67.76,36.97,730,0.64,0.39,4.04,335369.58
0,26.53,69.33,36.69,746,0.42,0.25,2.54,338200.08
1,22.257,70.73,35.73,767,0.35,-0.34,2.08,347405.83
1,14.18,74.36,39.35,689,1.12,1.39,1.27,260625.03
1,23.856,72.33,36.68,706,0.89,1.1,2.25,283379.78
0,55.306,70.61,37.83,734,1.12,0.39,6.49,317045.08
1,20.861,69.57,36.48,703,0.84,1.05,1.93,251037.55
0,36.419,69.64,35.85,760,0.68,0.06,3.7,341088.37
0,27.038,71.66,35.59,766,0.36,-0.07,2.59,348472.71
1,9.839,89.53,36.84,757,0.41,-0.4,0.86,342646.96
0,33.583,72.23,34.65,766,0.41,-0.19,3.35,392456.5
0,47.493,70.95,37.59,724,1.09,0.47,5.23,335483.72
0,55.835,69.13,35.7,760,1.09,0.07,6.58,322173.28
1,7.125,84.11,38.13,703,0.34,1.07,0.61,236942.09
1,21.708,72.37,38.45,679,0.85,1.51,2.02,266764.28
0,49.303,70.69,37.92,734,0.91,0.4,5.5,321696.21
1,13.329,88.7,40.32,702,0.87,1.49,1.19,232959.3
0,27.327,66.85,34.74,753,0.41,0.13,2.62,352632.12
0,52.821,85.11,35.15,752,0.54,0.16,6.07,385403.44
1,24.135,72.17,37.62,680,1.09,1.38,2.28,262708.07
1,9.993,85.41,38.16,702,0.6,1.03,0.87,244267.35
1,10.334,86.24,40.01,700,0.67,1.42,0.9,236861.31
0,48.778,70.13,37.06,750,1.16,0.2,5.42,316288.62
1,11.2,68.74,36.86,706,0.57,0.98,0.98,253422.43
1,12.284,86.72,40.45,700,0.84,1.41,1.09,238468.13
0,51.641,67.14,35.27,754,0.61,0.15,5.87,340474.04
1,19.216,84.54,38.82,702,1.07,1.22,1.76,245709.42
1,22.838,87.23,40.81,701,1.08,1.32,2.14,241101.27
