HPI,Rates,UE,FICO,Age,RollRate
-45,-2,3.5,650,12,6.815715735
-40,-2,3.5,650,12,5.926858002
-35,-2,3.5,650,12,5.248313468
-30,-2,3.5,650,12,4.511186201
-25,-2,3.5,650,12,3.843452391
-20,-2,3.5,650,12,3.26452093
-10,-2,3.5,650,12,2.293543811
-5,-2,3.5,650,12,1.738611737
0,-2,3.5,650,12,1.35450611
5,-2,3.5,650,12,1.08586522
10,-2,3.5,650,12,0.906469127
15,-2,3.5,650,12,0.789705995
20,-2,3.5,650,12,0.697092702
-50,-2,4.5,650,12,7.21431858
-45,-2,4.5,650,12,7.309834051
-40,-2,4.5,650,12,7.542137113
-35,-2,4.5,650,12,7.64305317
-30,-2,4.5,650,12,6.68028061
-25,-2,4.5,650,12,6.626317365
-20,-2,4.5,650,12,6.317582317
-10,-2,4.5,650,12,5.213614665
-5,-2,4.5,650,12,4.559843978
0,-2,4.5,650,12,3.938190167
5,-2,4.5,650,12,3.408926096
10,-2,4.5,650,12,3.00960573
15,-2,4.5,650,12,2.731941014
20,-2,4.5,650,12,2.493581619
-50,-2,5,650,12,8.834014044
-45,-2,5,650,12,7.213698413
-40,-2,5,650,12,7.607424673
-35,-2,5,650,12,8.039507082
-30,-2,5,650,12,7.095178256
-25,-2,5,650,12,7.427654427
-20,-2,5,650,12,6.648842618
-10,-2,5,650,12,6.538415303
-5,-2,5,650,12,6.01806976
0,-2,5,650,12,5.408653576
5,-2,5,650,12,4.822401348
10,-2,5,650,12,4.34684925
15,-2,5,650,12,4.009001248
20,-2,5,650,12,3.710388745
-50,-2,7.5,650,12,7.934407768
-45,-2,7.5,650,12,9.30760702
-40,-2,7.5,650,12,8.209367229
-35,-2,7.5,650,12,9.373628701
-30,-2,7.5,650,12,8.520670486
-25,-2,7.5,650,12,7.761902245
-20,-2,7.5,650,12,7.090183352
-10,-2,7.5,650,12,7.278326696
-5,-2,7.5,650,12,7.69469244
0,-2,7.5,650,12,7.056791436
5,-2,7.5,650,12,7.596804633
10,-2,7.5,650,12,7.116308613
15,-2,7.5,650,12,6.797988589
20,-2,7.5,650,12,6.509312214
-50,-1.5,0,650,12,0.671558009
-45,-1.5,0,650,12,0.486718808
-40,-1.5,0,650,12,0.371123121
-35,-1.5,0,650,12,0.292928144
-30,-1.5,0,650,12,0.236793487
-25,-1.5,0,650,12,0.192942232
-20,-1.5,0,650,12,0.158773508
-10,-1.5,0,650,12,0.105947117
-5,-1.5,0,650,12,0.085984881
0,-1.5,0,650,12,0.07079101
5,-1.5,0,650,12,0.059555336
10,-1.5,0,650,12,0.051547573
15,-1.5,0,650,12,0.045744214
20,-1.5,0,650,12,0.041050813
-50,-1.5,0.5,650,12,0.850622389
-45,-1.5,0.5,650,12,0.610669609
-40,-1.5,0.5,650,12,0.462945486
-35,-1.5,0.5,650,12,0.364085994
-30,-1.5,0.5,650,12,0.293913343
-25,-1.5,0.5,650,12,0.23932749
-20,-1.5,0.5,650,12,0.196943527
-10,-1.5,0.5,650,12,0.131945795
-5,-1.5,0.5,650,12,0.106937122
0,-1.5,0.5,650,12,0.087803341
5,-1.5,0.5,650,12,0.073577401
10,-1.5,0.5,650,12,0.063447567
15,-1.5,0.5,650,12,0.056216395
20,-1.5,0.5,650,12,0.050365498
-50,-1.5,1,650,12,1.175257506
-45,-1.5,1,650,12,0.830079131
-40,-1.5,1,650,12,0.623185354
-35,-1.5,1,650,12,0.487093887
-30,-1.5,1,650,12,0.392011266
-25,-1.5,1,650,12,0.318581947
-20,-1.5,1,650,12,0.261913935
-10,-1.5,1,650,12,0.175933225
-5,-1.5,1,650,12,0.14230873
0,-1.5,1,650,12,0.116471288
5,-1.5,1,650,12,0.097176497
10,-1.5,1,650,12,0.083463214
15,-1.5,1,650,12,0.073821269
20,-1.5,1,650,12,0.066017913
-50,-1.5,1.5,650,12,1.817572518
-45,-1.5,1.5,650,12,1.245598918
-40,-1.5,1.5,650,12,0.918933683
-35,-1.5,1.5,650,12,0.71032261
-30,-1.5,1.5,650,12,0.568001036
-25,-1.5,1.5,650,12,0.459526661
-20,-1.5,1.5,650,12,0.376708076
-10,-1.5,1.5,650,12,0.252909263
-5,-1.5,1.5,650,12,0.203985234
0,-1.5,1.5,650,12,0.166317376
5,-1.5,1.5,650,12,0.138126287
10,-1.5,1.5,650,12,0.118154493
15,-1.5,1.5,650,12,0.104309047
20,-1.5,1.5,650,12,0.09310656
-50,-1.5,2.5,650,12,4.728494009
-45,-1.5,2.5,650,12,3.561065129
-40,-1.5,2.5,650,12,2.766214262
-35,-1.5,2.5,650,12,2.062539242
-30,-1.5,2.5,650,12,1.580701562
-25,-1.5,2.5,650,12,1.241049324
-20,-1.5,2.5,650,12,0.996279139
-10,-1.5,2.5,650,12,0.653156134
-5,-1.5,2.5,650,12,0.520315254
0,-1.5,2.5,650,12,0.419391646
5,-1.5,2.5,650,12,0.344548337
10,-1.5,2.5,650,12,0.292254683
15,-1.5,2.5,650,12,0.256894115
20,-1.5,2.5,650,12,0.228388084
-50,-1.5,3.5,650,12,7.825616234
-45,-1.5,3.5,650,12,6.833039253
-40,-1.5,3.5,650,12,5.943049157
-35,-1.5,3.5,650,12,5.263767679
-30,-1.5,3.5,650,12,4.524789749
-25,-1.5,3.5,650,12,3.855217117
-20,-1.5,3.5,650,12,3.27458808
-10,-1.5,3.5,650,12,2.294220433
-5,-1.5,3.5,650,12,1.739304375
0,-1.5,3.5,650,12,1.354863749
5,-1.5,3.5,650,12,1.085992184
10,-1.5,3.5,650,12,0.906470144
15,-1.5,3.5,650,12,0.789635078
20,-1.5,3.5,650,12,0.696975659
-50,-1.5,4.5,650,12,7.22397202
-45,-1.5,4.5,650,12,7.324399859
-40,-1.5,4.5,650,12,7.559816192
-35,-1.5,4.5,650,12,7.66377881
-30,-1.5,4.5,650,12,6.698931789
-25,-1.5,4.5,650,12,6.646402738
-20,-1.5,4.5,650,12,6.337865969
